Q	a	r
q8	0	0
q13	1	0
q8	1	0
q8	0	0
q8	2	0
q8	2	0
q10	2	0
q15	0	300
q17	3	0
q13	4	0
q13	2	0
q17	2	0
q18	2	300
q19	2	0
q19	3	0
q19	2	0
q19	1	0
q16	3	0
q16	3	0
q16	2	0
q16	0	0
q19	0	0
q24	3	300
q22	1	0
q18	2	300
q19	1	0
q16	1	0
q16	4	0
q16	3	0
q16	3	0
q15	2	300
q16	2	0
q16	4	0
q16	3	0
q16	2	0
q16	3	0
q16	4	0
q16	2	0
q16	4	0
q16	4	0
q16	1	0
q16	3	0
q16	2	0
q16	1	0
q16	4	0
q16	3	0
q16	4	0
q16	1	0
q16	2	0
q16	3	0
q16	2	0
q16	2	0
q16	4	0
q16	4	0
q16	2	0
q16	4	0
q16	1	0
q16	0	0
q16	3	0
q16	4	0
q16	2	0
q16	0	0
q16	1	0
q16	2	0
q16	3	0
q16	2	0
q16	0	0
q16	3	0
q16	3	0
q16	4	0
q16	2	0
q16	2	0
q16	0	0
q16	2	0
q16	4	0
q16	1	0
q16	1	0
q16	0	0
q16	3	0
q16	4	0
q16	3	0
q16	2	0
q16	0	0
q16	0	0
q16	2	0
q16	3	0
q16	3	0
q16	2	0
q16	2	0
q16	0	0
q16	0	0
q33	3	0
q33	1	0
q16	1	0
q16	1	0
q16	0	0
q16	1	0
q16	2	0
q16	2	0
q16	0	0
q16	4	0
q16	3	0
q16	0	0
q16	4	0
q16	2	0
q16	3	0
q16	0	0
q33	4	0
q33	1	0
q16	4	0
q16	0	0
q33	1	0
q16	4	0
q16	2	0
q16	4	0
q16	2	0
q16	1	0
q16	3	0
q16	4	0
q16	2	0
q16	4	0
q16	4	0
q16	1	0
q16	3	0
q16	1	0
q16	0	0
q16	1	0
q16	0	0
q16	2	0
q16	0	0
q16	4	0
q16	3	0
q16	4	0
q16	0	0
q16	1	0
q16	1	0
q16	0	0
q16	0	0
q16	4	0
q16	2	0
q16	1	0
q16	3	0
q16	2	0
q16	3	0
q16	2	0
q16	3	0
q16	1	0
q16	4	0
q16	0	0
q16	3	0
q16	4	0
q16	4	0
q16	4	0
q16	4	0
q16	4	0
q16	1	0
q16	3	0
q16	1	0
q16	1	0
q16	1	0
q16	3	0
q16	4	0
q16	3	0
q16	3	0
q16	2	0
q16	1	0
q16	4	0
q16	4	0
q16	2	0
q16	4	0
q16	2	0
